payload_ratio,payload_regime,alpha,model,accuracy,auc,mse,psnr,ber,mean_shift_l2,fisher_separation,js_lsb_mean,js_lsb_transition,kl_cover_to_stego,kl_stego_to_cover,delta_mean_intensity,delta_grad_x_mean,delta_grad_y_mean,delta_lsb_mean,auc_excess,inv_psnr,payload_norm,auc_norm,divergence_proxy,divergence_norm,distortion_norm,tradeoff_score_legacy,tradeoff_score_payload_aware,feasible_payload,tradeoff_score_constrained,pareto_efficient
0.01,low,0.0,logreg,0.5909090909090909,0.6528925619834711,0.0046539306640625,71.45260452144824,0.0,0.002906068452369623,0.040308344823794265,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009697629910476735,0.00015468277165364697,0.0006193802277474347,0.0003147409373124854,0.15289256198347112,0.013995291098168796,0.0,0.254901960784314,0.009631268828023308,0.002721365973105359,0.010854490170891296,0.1048120238411802,0.1048120238411802,False,1.1048120238411803,False
0.01,low,0.0,rf,0.5454545454545454,0.5454545454545454,0.0046539306640625,71.45260452144824,0.0,0.002906068452369623,0.040308344823794265,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009697629910476735,0.00015468277165364697,0.0006193802277474347,0.0003147409373124854,0.045454545454545414,0.013995291098168796,0.0,0.0,0.009631268828023308,0.002721365973105359,0.010854490170891296,0.0028512395274545993,0.0028512395274545993,False,1.0028512395274547,True
0.01,low,0.25,logreg,0.5454545454545454,0.6859504132231405,0.004486083984375,71.61212961079453,0.0,0.0030852847665205543,0.04425511439314856,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0009871410563562222,0.00015383506115007606,0.0006146515925946616,0.0002956674509843604,0.18595041322314054,0.013964114814555997,0.0,0.3333333333333336,0.010858304449128275,0.026189094515543562,0.0,0.13988060696221932,0.13988060696221932,False,1.1398806069622194,False
0.01,low,0.25,rf,0.6363636363636364,0.6528925619834711,0.004486083984375,71.61212961079453,0.0,0.0030852847665205543,0.04425511439314856,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0009871410563562222,0.00015383506115007606,0.0006146515925946616,0.0002956674509843604,0.15289256198347112,0.013964114814555997,0.0,0.254901960784314,0.010858304449128275,0.026189094515543562,0.0,0.1085080579426115,0.1085080579426115,False,1.1085080579426114,True
0.01,low,0.5,logreg,0.5909090909090909,0.7272727272727273,0.0048828125,71.24410313171704,0.0,0.002878800806559145,0.039665066091754325,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009871410563562222,0.00021940017040300575,0.0005725839588599513,0.00031516479256415986,0.2272727272727273,0.014036249402300522,0.0,0.4313725490196081,0.009488979258710081,0.0,0.02511473732336703,0.17757196707251666,0.17757196707251666,False,1.1775719670725167,True
0.01,low,0.5,rf,0.5909090909090909,0.7355371900826446,0.0048828125,71.24410313171704,0.0,0.002878800806559145,0.039665066091754325,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009871410563562222,0.00021940017040300575,0.0005725839588599513,0.00031516479256415986,0.23553719008264462,0.014036249402300522,0.0,0.4509803921568629,0.009488979258710081,0.0,0.02511473732336703,0.1854151043274186,0.1854151043274186,False,1.1854151043274186,False
0.01,low,0.75,logreg,0.5454545454545454,0.7024793388429752,0.004974365234375,71.16342691423671,0.0,0.0030284716387717083,0.04278902923675887,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009820547933543367,0.00017514703302623502,0.0006385464324116796,0.0003126216610537802,0.2024793388429752,0.014052161951182588,0.0,0.37254901960784326,0.01018860730381727,0.013380769686593876,0.030654929591931977,0.15849578618317217,0.15849578618317217,False,1.1584957861831722,False
0.01,low,0.75,rf,0.5454545454545454,0.6942148760330579,0.004974365234375,71.16342691423671,0.0,0.0030284716387717083,0.04278902923675887,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009820547933543367,0.00017514703302623502,0.0006385464324116796,0.0003126216610537802,0.19421487603305787,0.014052161951182588,0.0,0.3529411764705884,0.01018860730381727,0.013380769686593876,0.030654929591931977,0.15065264892827024,0.15065264892827024,False,1.1506526489282702,False
0.01,low,1.0,logreg,0.6363636363636364,0.7603305785123966,0.005126953125,71.03221014101766,0.0,0.002883823764568506,0.04019232997970202,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009761208198142413,0.0002066315309443567,0.0006253009557948275,0.0003185556345781104,0.2603305785123966,0.014078120306474155,0.0,0.5098039215686274,0.0095969435153043,0.002064875560627687,0.03969271985148486,0.21237633148790488,0.21237633148790488,False,1.2123763314879048,False
0.01,low,1.0,rf,0.6363636363636364,0.6446280991735538,0.005126953125,71.03221014101766,0.0,0.002883823764568506,0.04019232997970202,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009761208198142413,0.0002066315309443567,0.0006253009557948275,0.0003185556345781104,0.1446280991735538,0.014078120306474155,0.0,0.23529411764705913,0.0095969435153043,0.002064875560627687,0.03969271985148486,0.10257240991927755,0.10257240991927755,False,1.1025724099192775,True
0.03,low,0.0,logreg,0.5909090909090909,0.6776859504132231,0.01458740234375,66.49102399215509,0.0,0.002896771070581059,0.040612367537564205,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0010235926080213176,6.23882905879114e-05,3.848660524319314e-05,9.89986141787802e-05,0.1776859504132231,0.015039623996736529,0.14285714285714285,0.3137254901960785,0.009687424679883013,0.0037953774075298766,0.3744546332613319,0.20132996708258025,0.1799013956540088,False,1.1799013956540088,False
